threshold,n_retained,coverage,accuracy,n_correct
0.6872259705346491,159,0.554006968641115,0.8301886792452831,132
0.6854224118449965,160,0.5574912891986062,0.83125,133
0.6851740533810724,161,0.5609756097560976,0.8322981366459627,134
0.6824278508626739,162,0.5644599303135889,0.8333333333333334,135
0.6800067945746162,163,0.5679442508710801,0.8343558282208589,136
0.6750788160342617,164,0.5714285714285714,0.8292682926829268,136
0.672207880728938,165,0.5749128919860628,0.8303030303030303,137
0.6718661426460891,166,0.578397212543554,0.8313253012048193,138
0.66914506745985,167,0.5818815331010453,0.8323353293413174,139
0.6684545704226483,168,0.5853658536585366,0.8333333333333334,140
0.6538047514795798,169,0.5888501742160279,0.834319526627219,141
0.6532553308927667,170,0.5923344947735192,0.8294117647058824,141
0.6497087437563471,171,0.5958188153310104,0.8304093567251462,142
0.6480022487474792,172,0.5993031358885017,0.8255813953488372,142
0.6475662583499219,173,0.6027874564459931,0.8265895953757225,143
0.6471979279884145,174,0.6062717770034843,0.8218390804597702,143
0.6424335788095296,175,0.6097560975609756,0.8171428571428572,143
0.64242112486437,176,0.6132404181184669,0.8181818181818182,144
0.6410312790019648,177,0.6167247386759582,0.8192090395480226,145
0.633362417353786,178,0.6202090592334495,0.8202247191011236,146
0.6317725801014411,179,0.6236933797909407,0.8156424581005587,146
0.6309137692833635,180,0.627177700348432,0.8166666666666667,147
0.628284010034907,181,0.6306620209059234,0.8121546961325967,147
0.6261160505174679,182,0.6341463414634146,0.8131868131868132,148
0.6237849154443075,183,0.6376306620209059,0.8087431693989071,148
0.6231934435073639,184,0.6411149825783972,0.8097826086956522,149
0.6225557314121561,185,0.6445993031358885,0.8108108108108109,150
0.6198320877697528,186,0.6480836236933798,0.8118279569892473,151
0.6178049026995349,187,0.6515679442508711,0.8128342245989305,152
0.6079413994111484,188,0.6550522648083623,0.8138297872340425,153
0.6072625741319164,189,0.6585365853658537,0.8148148148148148,154
0.6028857715157233,190,0.662020905923345,0.8157894736842105,155
0.6018160209535679,191,0.6655052264808362,0.8167539267015707,156
0.5999478504890554,192,0.6689895470383276,0.8125,156
0.5980279238770955,193,0.6724738675958188,0.8134715025906736,157
0.5966404454375596,194,0.6759581881533101,0.8092783505154639,157
0.591937068006255,195,0.6794425087108014,0.8102564102564103,158
0.5900221594695817,196,0.6829268292682927,0.8112244897959183,159
0.5881821362277908,197,0.686411149825784,0.8071065989847716,159
0.5875661014666217,198,0.6898954703832753,0.8080808080808081,160
0.5860272084306253,199,0.6933797909407665,0.8090452261306532,161
0.5858344125589927,200,0.6968641114982579,0.81,162
0.5838696010091329,201,0.7003484320557491,0.8059701492537313,162
0.5824533415569171,202,0.7038327526132404,0.801980198019802,162
