setup,split,macro_f1,accuracy
H,12,0.5412492546213477,0.631578947368421
A,13,0.5822835497835498,0.5614035087719298
B,13,0.22823348694316437,0.38596491228070173
C,13,0.47365079365079366,0.5087719298245614
D,13,0.5870940170940171,0.6140350877192983
E,13,0.5988888888888889,0.631578947368421
F,13,0.5337296037296038,0.5964912280701754
G,13,0.6929731938542008,0.6842105263157895
H,13,0.7511685241472476,0.7368421052631579
A,14,0.5311550729971782,0.6491228070175439
B,14,0.3082875457875458,0.45614035087719296
C,14,0.3906060606060606,0.5263157894736842
D,14,0.504730311517162,0.6491228070175439
E,14,0.525519914867741,0.6491228070175439
F,14,0.525584849932676,0.6491228070175439
G,14,0.6779824826336454,0.7894736842105263
H,14,0.686013986013986,0.8070175438596491
A,15,0.5210829685219929,0.6724137931034483
B,15,0.37160919540229886,0.4482758620689655
C,15,0.42400879917184264,0.4827586206896552
D,15,0.48164502164502165,0.6551724137931034
E,15,0.43346320346320344,0.6379310344827587
F,15,0.41488413547237074,0.6206896551724138
G,15,0.4499620262778158,0.6724137931034483
H,15,0.4732359307359307,0.6724137931034483
A,16,0.36957779063042223,0.5517241379310345
B,16,0.2824132730015083,0.43103448275862066
C,16,0.2930969030969031,0.4827586206896552
D,16,0.44385850556438794,0.5689655172413793
E,16,0.4419369369369369,0.5689655172413793
F,16,0.4631613347093223,0.603448275862069
G,16,0.5337564842338404,0.6896551724137931
H,16,0.5377489177489178,0.6896551724137931
A,17,0.698865760170108,0.7192982456140351
B,17,0.3352380952380952,0.38596491228070173
C,17,0.5126382488479263,0.45614035087719296
D,17,0.6390937069197938,0.6666666666666666
E,17,0.6513248091508961,0.6666666666666666
F,17,0.6125722103982973,0.6666666666666666
G,17,0.8552393174738977,0.8596491228070176
H,17,0.8742315655359132,0.8771929824561403
A,18,0.40061591525006157,0.5087719298245614
B,18,0.223859649122807,0.3333333333333333
C,18,0.3060029105020616,0.3508771929824561
D,18,0.48530303030303035,0.5789473684210527
E,18,0.47521259102654445,0.5614035087719298
F,18,0.4241125541125541,0.5087719298245614
G,18,0.5353600797609755,0.631578947368421
H,18,0.5258843537414966,0.6666666666666666
A,19,0.4940197794603895,0.6140350877192983
B,19,0.21222527472527472,0.2982456140350877
C,19,0.3666369578134284,0.49122807017543857
D,19,0.5077799736495389,0.6140350877192983
E,19,0.49777997364953885,0.6140350877192983
F,19,0.489709128081221,0.5964912280701754
G,19,0.46603174603174596,0.6140350877192983
H,19,0.4793650793650793,0.6666666666666666
A,20,0.6181289829503981,0.6724137931034483
B,20,0.31380952380952376,0.39655172413793105
C,20,0.45354864433811803,0.4827586206896552
D,20,0.5294771241830066,0.6724137931034483
E,20,0.61,0.7068965517241379
F,20,0.5058563074352549,0.6379310344827587
G,20,0.7327777777777778,0.7586206896551724
H,20,0.7355849573872102,0.7586206896551724
A,21,0.5221286058282961,0.5689655172413793
B,21,0.3332998156527568,0.41379310344827586
C,21,0.4500074719714188,0.4827586206896552
D,21,0.5814316012725345,0.6896551724137931
E,21,0.5496894409937888,0.6724137931034483
F,21,0.543937728937729,0.6551724137931034
G,21,0.6174156321035146,0.6551724137931034
H,21,0.6396681886285169,0.7068965517241379
A,22,0.6930952380952381,0.7192982456140351
B,22,0.16215617715617717,0.3157894736842105
C,22,0.31818181818181823,0.40350877192982454
D,22,0.37402861366275997,0.5263157894736842
E,22,0.3785714285714285,0.5263157894736842
F,22,0.41049783549783553,0.543859649122807
G,22,0.6374327122153209,0.7192982456140351
H,22,0.5473015873015873,0.7017543859649122
A,23,0.4688405797101449,0.5964912280701754
B,23,0.272526395173454,0.42105263157894735
C,23,0.4265128651656166,0.5263157894736842
D,23,0.571996831996832,0.6491228070175439
E,23,0.562026862026862,0.631578947368421
F,23,0.5661929181929182,0.631578947368421
G,23,0.5867094017094018,0.6140350877192983
H,23,0.7364761904761905,0.7543859649122807
A,24,0.40525252525252525,0.5789473684210527
B,24,0.28866138763197585,0.3684210526315789
